ano;semestre;unidade;curso;qtd_ingressos;qtd_egressos;evasao
2024;1;FAMED;Medicina - Bacharelado;1;6.0;-500.0
2024;1;FAMEZ;Medicina Veterinária;53;5.0;90.6
2024;1;FAMEZ;Zootecnia - Bacharelado;66;2.0;97.0
2024;1;INBIO;Ciências Biológicas;64;5.0;92.2
2024;1;INBIO;Ciências Biológicas - Bacharelado;55;3.0;94.5
2024;1;INFI;Física;36;2.0;94.4
2024;1;INISA;Enfermagem;50;1.0;98.0
2024;1;INISA;Fisioterapia;43;4.0;90.7
2024;1;INQUI;Engenharia Química;58;5.0;91.4
2024;1;INQUI;Química - Bacharelado em Química Tecnológica;30;2.0;93.3
2024;1;INQUI;Química - Licenciatura;56;4.0;92.9
2024;2;AGEAD;Curso Superior de Tecnologia em Gestão Comercial;44;9.0;79.5
2024;2;CPAQ;Geografia;8;10.0;-25.0
2024;2;CPAQ;História;2;7.0;-250.0
2024;2;CPAQ;Matemática;4;5.0;-25.0
2024;2;CPAR;Matemática - Licenciatura;2;7.0;-250.0
2024;2;CPNA;História - Licenciatura;2;1.0;50.0
2024;2;CPPP;Matemática - Licenciatura;1;5.0;-400.0
2024;2;CPPP;Sistemas de Informação - Bacharelado;4;7.0;-75.0
2024;2;CPTL;Ciências Biológicas;5;17.0;-240.0
2024;2;CPTL;Direito;2;78.0;-3800.0
2024;2;CPTL;Engenharia de Produção;3;7.0;-133.3
2024;2;CPTL;Geografia;5;2.0;60.0
2024;2;CPTL;Geografia - Bacharelado;3;2.0;33.3
2024;2;CPTL;Letras - Português e Espanhol;2;2.0;0.0
2024;2;CPTL;Letras - Português e Literatura;9;5.0;44.4
2024;2;CPTL;Matemática;19;6.0;68.4
2024;2;ESAN;Administração - Bacharelado;2;35.0;-1650.0
2024;2;ESAN;Turismo - Bacharelado;3;5.0;-66.7
2024;2;FAALC;Jornalismo;3;30.0;-900.0
2024;2;FAALC;Letras - Português e Espanhol - Licenciatura;6;5.0;16.7
2024;2;FAALC;Música;4;5.0;-25.0
2024;2;FACFAN;Engenharia de Alimentos;7;5.0;28.6
2024;2;FACH;Ciências Sociais;16;10.0;37.5
2024;2;FACH;Filosofia;16;13.0;18.8
2024;2;FACOM;Ciência da Computação;7;14.0;-100.0
2024;2;FACOM;Engenharia de Computação;6;21.0;-250.0
2024;2;FACOM;Engenharia de Software;3;37.0;-1133.3
2024;2;FACOM;Sistemas de Informação;5;8.0;-60.0
2024;2;FADIR;Direito;67;65.0;3.0
2024;2;FAED;Educação do Campo;2;8.0;-300.0
2024;2;FAED;Educação Física;3;9.0;-200.0
2024;2;FAED;Educação Física - Bacharelado;2;12.0;-500.0
2024;2;FAED;Pedagogia;58;30.0;48.3
2024;2;FAENG;Arquitetura e Urbanismo - Bacharelado;1;25.0;-2400.0
2024;2;FAENG;Engenharia Civil;52;12.0;76.9
2024;2;FAENG;Geografia - Bacharelado;8;12.0;-50.0
2024;2;INBIO;Ciências Biológicas;1;16.0;-1500.0
2024;2;INBIO;Ciências Biológicas - Bacharelado;1;18.0;-1700.0
2024;2;INFI;Engenharia Física;12;3.0;75.0
2024;2;INFI;Física;10;2.0;80.0
2024;2;INISA;Enfermagem;1;31.0;-3000.0
2024;2;INMA;Matemática - Bacharelado;8;1.0;87.5
2024;2;INQUI;Engenharia Química;10;2.0;80.0
2024;2;INQUI;Química - Bacharelado em Química Tecnológica;3;3.0;0.0
2024;2;INQUI;Química - Licenciatura;6;1.0;83.3
2023;1;CPAN;Ciências Biológicas;50;2.0;96.0
2023;1;CPAN;Ciências Contábeis;57;3.0;94.7
2023;1;CPAN;Direito ;62;2.0;96.8
2023;1;CPAN;Geografia;23;8.0;65.2
2023;1;CPAN;Letras - Licenciatura - Habilitação em Português/Inglês;1;2.0;-100.0
2023;1;CPAN;Matemática - Licenciatura;15;1.0;93.3
2023;1;CPAQ;Administração ;63;6.0;90.5
2023;1;CPAQ;Geografia;46;14.0;69.6
2023;1;CPAQ;História;22;2.0;90.9
2023;1;CPAQ;Matemática;23;2.0;91.3
2023;1;CPAQ;Pedagogia ;51;1.0;98.0
2023;1;CPAR;Administração;61;12.0;80.3
2023;1;CPAR;Matemática - Licenciatura;28;2.0;92.9
2023;1;CPCS;Agronomia - Bacharelado;3;21.0;-600.0
2023;1;CPCS;Engenharia Florestal - Bacharelado;19;7.0;63.2
2023;1;CPCX;Enfermagem - Bacharelado;51;1.0;98.0
2023;1;CPCX;Letras -  Português - Licenciatura;2;1.0;50.0
2023;1;CPCX;Sistemas de Informação - Bacharelado;55;1.0;98.2
2023;1;CPNA;Administração - Bacharelado;60;3.0;95.0
2023;1;CPNA;Engenharia de Produção;52;1.0;98.1
2023;1;CPPP;Matemática - Licenciatura;13;2.0;84.6
2023;1;CPPP;Sistemas de Informação - Bacharelado;42;2.0;95.2
2023;1;CPTL;Administração ;59;21.0;64.4
2023;1;CPTL;Ciências Biológicas;40;3.0;92.5
2023;1;CPTL;Ciências Contábeis ;53;1.0;98.1
2023;1;CPTL;Enfermagem;41;7.0;82.9
2023;1;CPTL;Engenharia de Produção;59;11.0;81.4
2023;1;CPTL;Geografia;30;1.0;96.7
2023;1;CPTL;Sistemas de Informação - Bacharelado;64;4.0;93.8
2023;1;ESAN;Administração - Bacharelado;138;47.0;65.9
2023;1;ESAN;Ciências Contábeis - Bacharelado;76;6.0;92.1
2023;1;ESAN;Ciências Econômicas - Bacharelado;62;6.0;90.3
2023;1;ESAN;Curso Superior de Tecnologia em Processos Gerenciais;69;6.0;91.3
2023;1;ESAN;Turismo - Bacharelado;41;6.0;85.4
2023;1;FAALC;Artes Visuais - Bacharelado -  Habilitação em Artes Plásticas;4;1.0;75.0
2023;1;FAALC;Audiovisual;28;1.0;96.4
2023;1;FAALC;Jornalismo;52;7.0;86.5
2023;1;FAALC;Letras - Português e Espanhol - Licenciatura;17;1.0;94.1
2023;1;FAALC;Música - Licenciatura;1;8.0;-700.0
2023;1;FACFAN;Nutrição;52;11.0;78.8
2023;1;FACH;Filosofia - Licenciatura;2;4.0;-100.0
2023;1;FACH;História - Licenciatura;73;9.0;87.7
2023;1;FACH;Psicologia - Bacharelado;62;4.0;93.5
2023;1;FACOM;Ciência da Computação;69;2.0;97.1
2023;1;FACOM;Engenharia de Computação;71;3.0;95.8
2023;1;FACOM;Engenharia de Software;73;13.0;82.2
2023;1;FACOM;Sistemas de Informação ;83;6.0;92.8
2023;1;FADIR;Direito;66;35.0;47.0
2023;1;FAED;Educação do Campo;14;3.0;78.6
2023;1;FAED;Educação do Campo - Licenciatura;1;3.0;-200.0
2023;1;FAED;Educação Física - Bacharelado;51;4.0;92.2
2023;1;FAENG;Arquitetura e Urbanismo - Bacharelado;50;11.0;78.0
2023;1;FAENG;Geografia - Bacharelado;51;1.0;98.0
2023;1;FAMEZ;Zootecnia - Bacharelado;61;4.0;93.4
2023;1;FAODO;Odontologia - Bacharelado;61;1.0;98.4
2023;1;INBIO;Ciências Biológicas;59;5.0;91.5
2023;1;INBIO;Ciências Biológicas - Bacharelado;52;3.0;94.2
2023;1;INISA;Enfermagem;52;2.0;96.2
2023;1;INISA;Fisioterapia ;41;8.0;80.5
2023;1;INQUI;Química - Bacharelado em Química Tecnológica;33;3.0;90.9
2023;1;INQUI;Química - Licenciatura;60;5.0;91.7
2023;2;CPAN;Geografia;2;17.0;-750.0
2023;2;CPAN;Matemática - Licenciatura;5;13.0;-160.0
2023;2;CPAN;Psicologia ;4;13.0;-225.0
2023;2;CPAN;Sistemas de Informação - Bacharelado;1;9.0;-800.0
